donation_id,donor_id,donation_amount,donation_date,campaign_type,payment_method
T11158,D0135,420.9,2024-08-15,Animal Welfare,Credit Card
T10684,D0194,540.08,2023-03-17,Environment,Net Banking
T11709,D0023,220.08,2023-02-11,Environment,UPI
T11296,D0221,46.66,2023-10-27,Animal Welfare,Credit Card
T10803,D0007,196.64,2023-09-08,Education,Net Banking
T11830,D0168,792.11,2024-05-20,Education,Net Banking
T10255,D0184,172.75,2024-01-19,Environment,Credit Card
T10730,D0053,45.89,2024-10-31,Health,Debit Card
T10424,D0181,21.86,2024-07-13,Disaster Relief,Credit Card
T11889,D0138,970.97,2024-10-15,Animal Welfare,Net Banking
T10119,D0262,165.02,2024-04-29,Health,UPI
T11874,D0166,273.95,2024-08-09,Education,Net Banking
T11458,D0300,58.59,2024-12-13,Animal Welfare,Credit Card
T11473,D0122,113.55,2023-08-11,Animal Welfare,Net Banking
T10139,D0213,723.56,2023-03-05,Health,Net Banking
T10590,D0225,39.89,2023-08-28,Animal Welfare,Credit Card
T10189,D0252,65.38,2023-04-16,Education,Debit Card
T10490,D0256,131.64,2024-06-11,Environment,Net Banking
T10493,D0111,51.68,2024-08-20,Disaster Relief,UPI
T10033,D0081,604.74,2024-04-09,,Debit Card
T11073,D0013,13.61,2024-01-26,Health,UPI
T10426,D0070,126.51,2023-03-06,Environment,UPI
T10439,D0228,26.97,2023-12-26,Environment,UPI
T11665,D0173,391.33,2024-11-25,Environment,Debit Card
T10128,D0026,11.4,2024-07-24,Health,UPI
T11752,D0190,12.44,2023-07-08,Health,UPI
T10039,D0124,126.02,2024-08-03,Education,UPI
T11641,D0245,379.07,2024-03-22,Environment,UPI
T10300,D0090,20.61,2023-04-23,Education,Credit Card
T11852,D0252,405.19,2024-05-31,Disaster Relief,Debit Card
T10608,D0246,150.0,2023-08-02,Disaster Relief,Debit Card
T10004,D0288,43.92,2023-07-23,Animal Welfare,Net Banking
T11339,D0152,16.23,2023-09-27,Animal Welfare,Debit Card
T10489,D0296,451.94,2023-11-17,Health,Credit Card
T10315,D0221,248.13,2024-04-07,Health,Net Banking
T11119,D0243,37.74,2023-06-10,Animal Welfare,Credit Card
T10592,D0120,50.15,2024-08-12,Disaster Relief,Debit Card
T11812,D0263,71.59,2024-08-30,Education,Net Banking
T11558,D0091,376.34,2023-11-12,Environment,UPI
T10721,D0070,49.99,2023-07-19,Environment,Net Banking
T11224,D0276,118.85,2024-08-11,Disaster Relief,Net Banking
T10405,D0258,461.76,2024-01-18,Health,Net Banking
T11006,D0215,245.71,2023-04-18,Animal Welfare,UPI
T11218,D0282,222.56,2023-10-19,Animal Welfare,Debit Card
T10808,D0062,129.87,2024-05-29,Education,Credit Card
T10396,D0293,400.97,2024-03-27,Environment,Debit Card
T11795,D0086,27.72,2024-07-10,Disaster Relief,Debit Card
T11266,D0180,109.68,2024-11-26,Animal Welfare,Credit Card
T10773,D0284,111.26,2024-09-07,Animal Welfare,Debit Card
T11221,D0134,42.75,2023-06-29,Environment,UPI
T10150,D0168,487.77,2023-12-12,Environment,Debit Card
T11256,D0052,54.76,2023-10-04,Health,Net Banking
T11023,D0059,718.49,2024-02-15,Environment,Net Banking
T11808,D0117,48.26,2023-11-11,Health,Credit Card
T11853,D0277,384.83,2024-07-13,Education,UPI
T10346,D0090,211.62,2023-05-13,Environment,Credit Card
T10962,D0142,66.3,2023-09-25,Disaster Relief,Credit Card
T11042,D0228,86.77,2024-08-09,Environment,UPI
T11497,D0213,134.54,2024-02-28,Education,Debit Card
T11911,D0226,428.55,2024-02-23,Disaster Relief,UPI
T11788,D0192,23.8,2024-06-08,Animal Welfare,UPI
T11058,D0231,140.74,2024-04-13,Animal Welfare,Credit Card
T11082,D0129,118.11,2023-07-27,Animal Welfare,Net Banking
T11432,D0163,144.22,2023-03-11,Animal Welfare,UPI
T10630,D0007,259.9,2023-01-18,Animal Welfare,Debit Card
T11611,D0243,220.47,2023-09-26,Health,Net Banking
T11935,D0189,336.94,2023-07-06,Environment,Net Banking
T10668,D0086,51.3,2024-03-21,,Net Banking
T10514,D0027,19.25,2024-08-20,Environment,Credit Card
T10184,D0111,69.67,2024-05-10,Disaster Relief,Debit Card
T10610,D0246,18.02,2023-09-06,Animal Welfare,Credit Card
T11371,D0012,49.93,2024-12-07,Disaster Relief,Credit Card
T11271,D0173,403.4,2024-03-07,Animal Welfare,Net Banking
T10791,D0045,186.49,2024-03-20,Education,Net Banking
T11829,D0148,79.29,2024-07-24,Education,UPI
T10357,D0272,186.27,2024-06-06,Health,Debit Card
T11782,D0154,133.79,2024-10-17,Environment,UPI
T11644,D0171,28.67,2024-11-29,Disaster Relief,Net Banking
T10097,D0013,121.56,2023-07-03,Disaster Relief,Net Banking
T11083,D0116,432.59,2024-10-10,Disaster Relief,Credit Card
T11379,D0041,189.76,2023-02-27,Disaster Relief,Debit Card
T10017,D0037,158.79,2024-09-15,Health,Credit Card
T11053,D0055,330.67,2023-02-16,Health,Net Banking
T11942,D0270,317.33,2024-03-21,Environment,Net Banking
T10173,D0175,61.36,2023-10-14,Animal Welfare,Debit Card
T10800,D0256,255.68,2024-08-03,,Debit Card
T10606,D0194,56.22,2024-11-20,Animal Welfare,UPI
T11646,D0274,37.33,2023-12-15,Education,Net Banking
T10096,D0122,157.94,2023-06-16,Health,
T11403,D0076,276.67,2023-10-22,Education,Debit Card
T11751,D0295,58.47,2023-05-10,Environment,Debit Card
T10247,D0039,690.17,2024-04-25,Disaster Relief,Debit Card
T11598,D0249,27.91,2023-03-26,Health,UPI
T11358,D0292,74.82,2024-10-02,Health,Net Banking
T10876,D0090,261.74,2024-12-25,Animal Welfare,Debit Card
T10805,D0019,276.7,2024-07-20,Environment,Credit Card
T10829,D0300,130.38,2023-04-22,Health,UPI
T11182,D0050,210.27,2023-07-01,Environment,UPI
T10500,D0198,249.57,2024-05-31,Environment,Debit Card
T10236,D0260,75.92,2023-10-01,Education,Debit Card
T11331,D0120,264.02,2023-11-21,Animal Welfare,Debit Card
T11669,D0073,350.15,2024-03-01,Health,Debit Card
T10812,D0005,36.63,2024-01-13,Health,Debit Card
T10932,D0026,842.12,2024-05-01,Disaster Relief,Debit Card
T11134,D0100,239.93,2023-11-22,Environment,Net Banking
T10776,D0201,62.08,2023-10-30,Education,Credit Card
T11836,D0203,37.42,2024-03-24,Animal Welfare,UPI
T10512,D0299,549.8,2023-11-12,Education,Net Banking
T11288,D0234,16.75,2024-10-08,Animal Welfare,Net Banking
T10985,D0251,146.83,2023-04-01,Health,Net Banking
T10472,D0065,18.82,2024-10-02,Disaster Relief,UPI
T11431,D0221,154.97,2023-05-29,Animal Welfare,Credit Card
T11774,D0244,319.2,2024-06-21,Disaster Relief,UPI
T10898,D0106,12.62,2023-07-14,Environment,Debit Card
T11995,D0199,223.98,2024-05-02,Disaster Relief,Net Banking
T11468,D0215,419.21,2023-11-12,Disaster Relief,Net Banking
T11445,D0212,49.0,2023-08-16,Health,Credit Card
T11838,D0053,536.45,2023-06-22,Education,Debit Card
T10726,D0087,40.11,2024-04-13,Animal Welfare,Net Banking
T10258,D0124,178.82,2024-05-24,Animal Welfare,Credit Card
T11563,D0273,74.26,2023-10-26,Environment,Net Banking
T10772,D0142,37.28,2024-10-22,Education,Credit Card
T11621,D0229,22.41,2023-12-26,Health,Debit Card
T10907,D0279,93.65,2024-02-01,Health,Debit Card
T10609,D0008,244.49,2023-08-05,Health,UPI
T10905,D0243,456.37,2023-04-29,Disaster Relief,Net Banking
T11539,D0274,158.96,2023-03-22,Environment,Credit Card
T10936,D0138,13.71,2024-03-02,Animal Welfare,UPI
T10321,D0285,260.77,2023-03-03,Animal Welfare,Debit Card
T10846,D0087,27.84,2024-08-10,Environment,Net Banking
T10980,D0176,91.37,2024-02-24,Animal Welfare,Net Banking
T11807,D0061,50.96,2023-08-16,Health,Credit Card
T10094,D0128,304.78,2024-11-13,Education,Debit Card
T11049,D0233,14.3,2023-12-06,Animal Welfare,Net Banking
T11112,D0133,60.67,2024-02-22,Environment,Net Banking
T10460,D0185,35.01,2024-07-21,Animal Welfare,Debit Card
T10532,D0227,1148.97,2024-11-02,Disaster Relief,Net Banking
T10922,D0283,459.91,2023-11-30,Disaster Relief,Net Banking
T11238,D0041,699.62,2024-11-23,Environment,UPI
T11361,D0086,57.31,2023-07-04,Animal Welfare,Net Banking
T10901,D0079,15.38,2023-02-25,Disaster Relief,UPI
T10518,D0010,882.86,2024-03-27,Disaster Relief,Net Banking
T11956,D0003,215.76,2023-09-17,Animal Welfare,Net Banking
T11976,D0289,70.03,2024-11-10,Animal Welfare,Credit Card
T11056,D0111,301.51,2024-04-13,Health,
T10929,D0020,69.65,2023-06-26,Disaster Relief,Net Banking
T10469,D0085,670.57,2023-06-15,Disaster Relief,
T11000,D0025,50.95,2024-11-08,Education,UPI
T11211,D0006,130.07,2023-07-26,Animal Welfare,Debit Card
T11340,D0233,69.6,2023-01-01,Animal Welfare,Net Banking
T10196,D0116,268.89,2024-06-19,Environment,Net Banking
T10850,D0018,23.89,2024-09-20,Animal Welfare,Credit Card
T11452,D0021,416.37,2024-07-25,Environment,UPI
T11635,D0055,63.48,2024-03-28,Disaster Relief,UPI
T11701,D0235,123.3,2024-03-04,Health,Debit Card
T11706,D0143,214.79,2023-01-15,Environment,Credit Card
T11794,D0264,18.51,2023-07-18,Health,UPI
T10533,D0110,172.13,2023-07-26,Animal Welfare,Debit Card
T10703,D0222,38.87,2024-02-10,Education,Credit Card
T10836,D0128,502.66,2023-12-31,Environment,UPI
T11024,D0140,587.43,2024-01-30,Environment,Net Banking
T10006,D0004,21.97,2023-06-13,Environment,Debit Card
T11659,D0073,128.55,2024-05-15,Education,Net Banking
T11160,D0040,359.53,2024-06-13,Disaster Relief,Net Banking
T10407,D0164,12.18,2023-04-12,Disaster Relief,Credit Card
T11821,D0099,35.88,2023-10-16,Health,UPI
T11006,D0215,245.71,2023-04-18,Animal Welfare,UPI
T11522,D0268,96.66,2023-04-29,Education,Debit Card
T10607,D0038,100.6,2023-07-12,Animal Welfare,Credit Card
T10107,D0177,291.75,2023-11-18,Environment,UPI
T11806,D0089,226.57,2024-12-27,Disaster Relief,UPI
T11700,D0144,685.24,2023-05-20,Education,Net Banking
T11815,D0064,697.53,2024-09-08,Health,Credit Card
T10780,D0068,246.8,2024-02-01,Animal Welfare,Net Banking
T11870,D0087,350.51,2023-01-21,Animal Welfare,Debit Card
T11424,D0078,872.95,2023-12-16,Environment,Credit Card
T11017,D0052,177.84,2023-06-28,Education,Debit Card
T10538,D0170,129.77,2024-04-28,Education,Credit Card
T10984,D0108,270.53,2023-06-22,Animal Welfare,Credit Card
T10739,D0070,104.62,2024-02-26,Education,Debit Card
T10969,D0184,139.27,2024-06-03,Disaster Relief,Credit Card
T10170,D0292,236.37,2024-09-16,Environment,Debit Card
T11832,D0228,184.66,2023-08-20,Animal Welfare,Net Banking
T11338,D0036,24.99,2024-06-27,Health,Net Banking
T11433,D0095,229.84,2023-11-22,Health,UPI
T11692,D0057,111.72,2023-11-30,Health,UPI
T11310,D0078,26.7,2023-01-16,Environment,Credit Card
T11768,D0190,104.29,2024-01-31,Disaster Relief,UPI
T11523,D0023,31.39,2024-12-04,Animal Welfare,UPI
T10429,D0279,34.9,2024-04-29,Disaster Relief,UPI
T10811,D0168,375.14,2023-03-30,Animal Welfare,Net Banking
T10080,D0190,407.71,2023-10-19,Health,Net Banking
T10794,D0084,13.66,2024-05-23,Disaster Relief,Debit Card
T11950,D0044,28.55,2023-01-11,Environment,Credit Card
T10120,D0146,339.47,2024-06-11,Animal Welfare,Debit Card
T10957,D0155,19.62,2024-11-24,Animal Welfare,Net Banking
T11364,D0191,274.19,2024-02-27,Environment,
T11792,D0185,153.58,2024-03-05,Disaster Relief,UPI
T10884,D0046,331.8,2024-12-26,Disaster Relief,Net Banking
T11369,D0266,64.24,2023-05-19,Disaster Relief,UPI
T11280,D0014,202.55,2024-02-11,Animal Welfare,UPI
T10403,D0047,360.27,2023-08-16,Environment,Debit Card
T11096,D0170,59.82,2023-12-06,Disaster Relief,Debit Card
T10523,D0089,379.18,2024-04-15,Animal Welfare,Debit Card
T10953,D0243,501.64,2023-05-16,Health,UPI
T10251,D0121,107.26,2024-10-08,Disaster Relief,Credit Card
T11254,D0206,241.4,2023-10-14,Environment,Credit Card
T10116,D0208,335.59,2024-07-15,Education,Debit Card
T11456,D0265,243.93,2023-05-26,Environment,Net Banking
T10558,D0032,291.41,2024-11-14,Education,Net Banking
T11705,D0111,32.33,2024-08-28,Environment,Net Banking
T10927,D0275,166.02,2023-12-19,Environment,Debit Card
T10575,D0024,607.24,2024-03-09,Disaster Relief,UPI
T10126,D0076,350.77,2024-11-02,Education,UPI
T11764,D0143,42.52,2023-07-20,Education,
T10564,D0276,96.34,2024-11-11,Health,Credit Card
T11190,D0146,23.95,2024-09-04,Animal Welfare,Net Banking
T10035,D0153,340.47,2024-10-16,Animal Welfare,Credit Card
T10211,D0225,245.46,2023-03-24,Animal Welfare,UPI
T10895,D0174,55.88,2024-08-31,Animal Welfare,Net Banking
T11282,D0044,174.04,2024-11-01,Environment,Debit Card
T11265,D0177,25.04,2023-01-21,Environment,UPI
T11861,D0201,223.52,2023-09-27,Environment,Net Banking
T11957,D0155,119.38,2024-02-09,Disaster Relief,Credit Card
T10240,D0234,574.22,2023-11-26,Health,Credit Card
T10340,D0177,145.3,2024-03-16,Education,Debit Card
T11040,D0260,165.08,2023-08-17,Animal Welfare,Net Banking
T11786,D0298,212.49,2024-05-07,Animal Welfare,Net Banking
T11139,D0185,189.5,2023-05-18,Disaster Relief,Net Banking
T10902,D0219,50.04,2023-03-31,Disaster Relief,Net Banking
